User ID, Created,Combined household income,Age range,Gender, Device type, Region, Respondent ID,Q(1) What is the total value of your personal savings and investments?,Q(1) Comments [Question: What is the total value of your personal savings and investments?],Q(2) What does money mean for you and your business?,Q(2) Sentiment [Question: What does money mean for you and your business?],Q(3) What makes handling money easier for you?,Q(3) Sentiment [Question: What makes handling money easier for you?]
PYl8NXpEykW1,2025-03-17T13:57:29+00:00,$100;000 - $124;999,27,Male,iOS,US,PYl8NXpEykW1,$100;001 – $500;000,,Great,0.90,Great,0.90
PLlXYDDRA7pv,2025-03-17T13:57:33+00:00,$150;000 - $174;999,30,Male,iOS,US,PLlXYDDRA7pv,More than $500;001,,To help in life and for emergency need,0.20,None for now,-0.70
GxkV9wbjr7bN,2025-03-17T13:57:44+00:00,$200;000+,30,Female,iOS,US,GxkV9wbjr7bN,$100;001 – $500;000,,It represents financial security,0.20,Having a good dashboard view of all of my different accounts,0.90
yxlRvYY4zlRB,2025-03-17T13:57:45+00:00,$100;000 - $124;999,33,Male,Android,US,yxlRvYY4zlRB,More than $500;001,,It means security,0.10,Budgeting,0.00
41nq0vjVwkXq,2025-03-17T13:57:48+00:00,$100;000 - $124;999,36,Female,iOS,US,41nq0vjVwkXq,$100;001 – $500;000,,Freedom,0.30,Organization,0.00
2rlr91Jx6n8W,2025-03-17T13:57:48+00:00,$150;000 - $174;999,31,Male,iOS,US,2rlr91Jx6n8W,Less than $100;000,,Cash flow and profit,0.10,Common sense,-0.20
Bp7PDjyPX72x,2025-03-17T13:57:50+00:00,$200;000+,25,Female,iOS,US,Bp7PDjyPX72x,Less than $100;000,,It means the freedom and security to make the decisions we want and need to make,0.70,Enough info to make the best decisions; and having fewer decisions to make,0.80
wNko4b4jWnBL,2025-03-17T13:57:52+00:00,$175;000 - $199;999,33; 34,Male,iOS,US,wNko4b4jWnBL,$100;001 – $500;000,,Great thing,0.90,I trained myself,0.00
yxlRvmJYLlRB,2025-03-17T13:57:53+00:00,$100;000 - $124;999,32,Female,Android,US,yxlRvmJYLlRB,$100;001 – $500;000,,A means,0.00,Trusting in Jesus with it; period. I let the Lord lead me,0.60
MjnZPOO3j7wP,2025-03-17T13:57:54+00:00,$125;000 - $149;999,41,Male,iOS,US,MjnZPOO3j7wP,Less than $100;000,,It means I can keep doing it,0.50,Having enough not to worry,0.60
6KnNyGMrPkW2,2025-03-17T13:57:56+00:00,$100;000 - $124;999,38,Female,Android,US,6KnNyGMrPkW2,Less than $100;000,,Capitalism,-0.40,Nothing,-0.60
P2nY2XagDl90,2025-03-17T13:57:56+00:00,$100;000 - $124;999,33,Male,Android,US,P2nY2XagDl90,$100;001 – $500;000,,Something i can rely on to retire early,0.50,Using online tools,0.00
WKn02vzzY7vA,2025-03-17T13:58:06+00:00,$100;000 - $124;999,26,Female,iOS,US,WKn02vzzY7vA,Less than $100;000,,Money is important to me.,0.30,I use budgeting apps.,-0.10
1GnjBP1KKnDA,2025-03-17T13:58:08+00:00,$100;000 - $124;999,34,Male,Android,US,1GnjBP1KKnDA,$100;001 – $500;000,,Its all about my retirement,0.00,Its easy enough on its own,0.60
4N7MPgpbGljE,2025-03-17T13:58:10+00:00,$125;000 - $149;999,30,Male,iOS,US,4N7MPgpbGljE,$100;001 – $500;000,,Money makes things possible and removes limitations.,0.80,Banks and ease of online banking.,0.80
yxlRvZ48XlRB,2025-03-17T13:58:11+00:00,$125;000 - $149;999,38,Male,Android,US,yxlRvZ48XlRB,$100;001 – $500;000,,Everything... It runs the world,0.30,Lack of debt,-0.60
WJkgBoGo17Pd,2025-03-17T13:58:13+00:00,$100;000 - $124;999,30,Female,iOS,US,WJkgBoGo17Pd,Less than $100;000,,I don’t have a business,-0.70,Creating a budget,0.00
1GnjBPmLvnDA,2025-03-17T13:58:19+00:00,$150;000 - $174;999,37,Male,Android,US,1GnjBPmLvnDA,$100;001 – $500;000,,Freedom,0.30,Software,0.00
2vlzQ4jmynGp,2025-03-17T13:58:18+00:00,$100;000 - $124;999,37,Male,Android,US,2vlzQ4jmynGp,Less than $100;000,,A lot,0.60,Clear info on investments,0.80
yxlRvzdr9lRB,2025-03-17T13:58:24+00:00,$200;000+,44,Female,iOS,US,yxlRvzdr9lRB,$100;001 – $500;000,,Survival,0.10,apps with reminders. autopay,0.00
6KnNyYL2mkW2,2025-03-17T13:58:24+00:00,$175;000 - $199;999,28,Male,Android,US,6KnNyYL2mkW2,$100;001 – $500;000,,It means the freedom to explore my hobbies and interests,0.40,Easy overview of my accounts and soending,0.80
dKk98AzAd7oe,2025-03-17T13:58:27+00:00,$100;000 - $124;999,43,Male,Android,US,dKk98AzAd7oe,Less than $100;000,,Success or failure,-0.30,I know the expenses,0.00
GxkV95gNV7bN,2025-03-17T13:58:27+00:00,$100;000 - $124;999,35,Female,iOS,US,GxkV95gNV7bN,Less than $100;000,,I don’t own a business,-0.60,Being able to move money from different accounts,0.80
aOkQbjMWdn4y,2025-03-17T13:58:28+00:00,$100;000 - $124;999,36,Male,iOS,US,aOkQbjMWdn4y,More than $500;001,,More money = The ability to enjoy life more,0.50,Online budgeting/money management tools,0.10
aJnWmrz467Db,2025-03-17T13:58:42+00:00,$125;000 - $149;999,38,Male,iOS,US,aJnWmrz467Db,$100;001 – $500;000,,Nothing,-0.60,Apps,0.20
PLlXYXEeQ7pv,2025-03-17T13:58:43+00:00,$150;000 - $174;999,45,Female,iOS,US,PLlXYXEeQ7pv,More than $500;001,,Means server as capital to me and my business,0.00,Effective running of the money on my business make it’s easier for me,0.90
qwneoEeZD75r,2025-03-17T13:58:43+00:00,$125;000 - $149;999,45,Male,iOS,US,qwneoEeZD75r,Less than $100;000,,It's a means of living but I try not to stress too much over it,0.00,Budgeting,0.00
eLnBqXoQKko8,2025-03-17T13:58:49+00:00,$175;000 - $199;999,40,Female,Android,US,eLnBqXoQKko8,More than $500;001,,Freedom,0.30,Spreadsheets,0.30
GxkV9VRX17bN,2025-03-17T13:58:50+00:00,$125;000 - $149;999,31,Male,Android,US,GxkV9VRX17bN,$100;001 – $500;000,,It means freedom to do and live how I want,0.90,Having less debt and fewer accounts to track,0.00
qVlpBR3G6kA5,2025-03-17T13:58:55+00:00,$125;000 - $149;999,45,Male,Android,US,qVlpBR3G6kA5,Less than $100;000,,It means a lot,0.40,Using bank,-0.10
J0nmrpjgelWr,2025-03-17T13:58:59+00:00,$100;000 - $124;999,42,Male,iOS,US,J0nmrpjgelWr,$100;001 – $500;000,,Security,0.30,Automated gains,0.50
4N7MPPD4GljE,2025-03-17T13:59:03+00:00,$125;000 - $149;999,39,Female,iOS,US,4N7MPPD4GljE,Less than $100;000,,Life,0.60,Budgets,0.00
Zz7br9EQj7gY,2025-03-17T13:59:16+00:00,$100;000 - $124;999,34,Female,iOS,US,Zz7br9EQj7gY,Less than $100;000,,Money is survival. You have to be smart and be a saver to manage your money. It is a necessity.,0.10,Having a budget and keeping track of my monthly spending. Having a list of how much I spent is a good way to keep track.,0.60
WJkgBmJ8b7Pd,2025-03-17T13:59:31+00:00,$100;000 - $124;999,40,Female,iOS,US,WJkgBmJ8b7Pd,$100;001 – $500;000,,Growth,0.20,Budget,0.00
WKn02vm527vA,2025-03-17T13:59:32+00:00,$100;000 - $124;999,30,Male,Android,US,WKn02vm527vA,$100;001 – $500;000,,Security and peace of mind,0.80,One central site/app to view all of my accounts,0.60
gK7y6og93kae,2025-03-17T13:59:41+00:00,$200;000+,41,Male,iOS,US,gK7y6og93kae,More than $500;001,,Survival. Need it!,0.10,Knowing what is really coming in.,0.10
Bp7PDAqmR72x,2025-03-17T13:59:43+00:00,$100;000 - $124;999,32,Female,Android,US,Bp7PDAqmR72x,$100;001 – $500;000,,Freedom,0.30,Accounting frameworks that cover all variables and can easily be analyzed and scaled,0.60
MqkKd8reBn91,2025-03-17T13:59:46+00:00,$200;000+,34,Male,iOS,US,MqkKd8reBn91,$100;001 – $500;000,,Freedom and enjoying the day as mine and nobody else’s,0.70,A budget,0.00
4N7MPDYDxljE,2025-03-17T14:00:02+00:00,$200;000+,39,Male,Android,US,4N7MPDYDxljE,$100;001 – $500;000,,It's the driving force to support & provide for your family,0.60,Being on top of my banking,0.50
WJkgoAK4PkPd,2025-03-17T14:00:15+00:00,$125;000 - $149;999,36,Male,iOS,US,WJkgoAK4PkPd,Less than $100;000,,Means we have more freedom to operate how we’d like to,0.40,Being able to put it where we need it,0.80
aJnWmJwV67Db,2025-03-17T14:00:17+00:00,$200;000+,29,Male,iOS,US,aJnWmJwV67Db,$100;001 – $500;000,,It means that I can pay myself and employees,0.20,Being able to access data on it quickly,0.70
Zz7brjXAz7gY,2025-03-17T14:00:24+00:00,$125;000 - $149;999,27,Female,Android,US,Zz7brjXAz7gY,Less than $100;000,,Security and peace of mind,0.80,Tips through my financial and banking apps,0.20
XQnwY3AJL7P2,2025-03-17T14:00:25+00:00,$200;000+,36,Male,iOS,US,XQnwY3AJL7P2,$100;001 – $500;000,,Money is actually a freedom for me to make the best choices,0.50,I usually prioritize what I needed over what I wanted.,0.20
gK7y6P6ozkae,2025-03-17T14:00:41+00:00,$175;000 - $199;999,45,Female,iOS,US,gK7y6P6ozkae,$100;001 – $500;000,,It means’s to make profit,0.00,Better financial management,0.50
aJnWm35167Db,2025-03-17T14:00:56+00:00,$125;000 - $149;999,40,Male,Android,US,aJnWm35167Db,$100;001 – $500;000,,Investment,0.00,Cost control Apps,-0.20
WJkgBOxxb7Pd,2025-03-17T14:01:20+00:00,$100;000 - $124;999,35,Female,Android,US,WJkgBOxxb7Pd,Less than $100;000,,The ability to live comfortably and provide a good life for my kids,0.90,Keeping things very simple,0.80
yxlRvgJEzlRB,2025-03-17T14:01:22+00:00,$175;000 - $199;999,34,Male,Android,US,yxlRvgJEzlRB,$100;001 – $500;000,,Security,0.30,Easibility,0.30
qwneo095Z75r,2025-03-17T14:01:52+00:00,$200;000+,36,Male,Android,US,qwneo095Z75r,$100;001 – $500;000,,It means everything. To afford the things I want and need,0.30,Better metrics and tracking,0.20
gK7y6Pyxpkae,2025-03-17T14:01:56+00:00,$175;000 - $199;999,33,Male,iOS,US,gK7y6Pyxpkae,$100;001 – $500;000,,Money mean a source of exchange,-0.10,Being confident,0.60
XOlEjMxVK7gp,2025-03-17T14:02:27+00:00,$100;000 - $124;999,45,Male,Android,US,XOlEjMxVK7gp,$100;001 – $500;000,,It means not having to worry; security for the future,0.50,Digital transactions; no cash,-0.50
aXk4drr5ykJW,2025-03-17T14:02:58+00:00,$100;000 - $124;999,35,Male,Android,US,aXk4drr5ykJW,$100;001 – $500;000,,Its our life blood,0.50,Apps,0.20
apkDZQjZDl3E,2025-03-17T14:02:57+00:00,$100;000 - $124;999,42,Female,iOS,US,apkDZQjZDl3E,$100;001 – $500;000,,A means to an end,-0.40,When it’s digital,0.00
apkDd4DdDk3E,2025-03-17T14:03:03+00:00,$125;000 - $149;999,34,Male,iOS,US,apkDd4DdDk3E,$100;001 – $500;000,,it’s a source of freedom,0.60,having time,0.10
WKn02xaPj7vA,2025-03-17T14:03:09+00:00,$100;000 - $124;999,38,Female,iOS,US,WKn02xaPj7vA,Less than $100;000,,I don’t have a business,-0.70,I don’t know,-0.20
p0lOaDqA3k8N,2025-03-17T14:03:28+00:00,$200;000+,32,Male,Android,US,p0lOaDqA3k8N,More than $500;001,,Stability,0.30,Applications,0.00
wNko4ZXJNnBL,2025-03-17T14:03:31+00:00,$100;000 - $124;999,30,Male,iOS,US,wNko4ZXJNnBL,Less than $100;000,,Creates a sense of security,0.80,Having a safe space for it,0.80
yxlRvxvz1lRB,2025-03-17T14:04:48+00:00,$175;000 - $199;999,43,Male,Android,US,yxlRvxvz1lRB,$100;001 – $500;000,,It means a lot. Investing or buying new equipment;  you always need capital.,0.00,Just being consistent and always be buying no matter the amount.,0.80
Zz7brYWvO7gY,2025-03-17T14:04:59+00:00,$125;000 - $149;999,37,Female,Android,US,Zz7brYWvO7gY,$100;001 – $500;000,,Capital,0.10,Savings and investments,0.80
apkDddzXxk3E,2025-03-17T14:04:59+00:00,$100;000 - $124;999,33,Male,iOS,US,apkDddzXxk3E,Less than $100;000,,essential for living,0.80,I have a budget,0.00
J0nmr2bPBlWr,2025-03-17T14:05:03+00:00,$150;000 - $174;999,28,Male,iOS,US,J0nmr2bPBlWr,Less than $100;000,,I don’t own a business but money is very important nonetheless,0.40,Budgeting and planning ahead,0.00
2rlr9QagRn8W,2025-03-17T14:05:05+00:00,$100;000 - $124;999,31,Female,iOS,US,2rlr9QagRn8W,Less than $100;000,,Money means freedom and protection for my family.,0.80,Having people around to help,0.10
GxkV9ebBb7bN,2025-03-17T14:05:10+00:00,$175;000 - $199;999,33,Female,iOS,US,GxkV9ebBb7bN,$100;001 – $500;000,,Everything possible - makes the world go round,0.80,A lot of it honestly ; they say more money more problems and that is true but it also makes it easier to hire people,0.10
Xgl5oo2xJk8Q,2025-03-17T14:05:21+00:00,$100;000 - $124;999,39,Male,iOS,US,Xgl5oo2xJk8Q,More than $500;001,,Security,0.30,Online,0.00
eLnBqd1L0ko8,2025-03-17T14:05:42+00:00,$100;000 - $124;999,34,Male,iOS,US,eLnBqd1L0ko8,$100;001 – $500;000,,Without it; we wouldn’t be in business,0.80,Careful tracking,0.30
G0lA8JxXYnPj,2025-03-17T14:06:02+00:00,$200;000+,38,Female,iOS,US,G0lA8JxXYnPj,More than $500;001,,Money means a source of freedom for me and my business; it is a means of livelihood and progress,0.80,Having different means and apps to stay in the know and handle my finances makes handling money easier for me,0.90
WKn02y6gN7vA,2025-03-17T14:06:36+00:00,$200;000+,45,Male,Android,US,WKn02y6gN7vA,More than $500;001,,An impact effective,0.50,By engaging in more business,0.50
1GnjBLOY9nDA,2025-03-17T14:06:40+00:00,$100;000 - $124;999,29,Male,iOS,US,1GnjBLOY9nDA,Less than $100;000,,Freedom,0.30,Digitally,0.40
1GnjBLyPDnDA,2025-03-17T14:07:19+00:00,$100;000 - $124;999,38,Male,Android,US,1GnjBLyPDnDA,$100;001 – $500;000,,safety for the future,0.50,knowledge and accessibility,0.80
P2nY2pZ8Ll90,2025-03-17T14:07:25+00:00,$150;000 - $174;999,44,Male,Android,US,P2nY2pZ8Ll90,$100;001 – $500;000,,Independence,0.30,Staying disciplined,0.80
Bp7PD6MNq72x,2025-03-17T14:07:47+00:00,$100;000 - $124;999,39,Male,Android,US,Bp7PD6MNq72x,$100;001 – $500;000,,It means that I have less to worry about.,0.40,Online banking,0.00
XOlEjvMvA7gp,2025-03-17T14:07:49+00:00,$150;000 - $174;999,44,Male,Android,US,XOlEjvMvA7gp,$100;001 – $500;000,,A saftey net. A plan to retire and survive.,0.00,Long tern low thought plans. VSTSX and chill.,0.30
yxlRvz6vMlRB,2025-03-17T14:08:36+00:00,$200;000+,45,Female,iOS,US,yxlRvz6vMlRB,More than $500;001,,It’s a revenue use for continuity in business,0.00,Credit card and crypto made handling money easier,0.90
XOlEjKjgj7gp,2025-03-17T14:08:57+00:00,$100;000 - $124;999,37,Male,Android,US,XOlEjKjgj7gp,Less than $100;000,,Money ain't nothing don't really care for it,-0.80,Don't spend it in crazy stuff,-0.60
apkDdzdBrk3E,2025-03-17T14:09:16+00:00,$125;000 - $149;999,31,Male,iOS,US,apkDdzdBrk3E,Less than $100;000,,Expanding,0.50,Accounting,0.00
JGnJ1YvGjkbx,2025-03-17T14:09:35+00:00,$150;000 - $174;999,26,Male,iOS,US,JGnJ1YvGjkbx,More than $500;001,,Money is a tool that provides stability; growth; and opportunities. For my buisness; it means the ability to invest; expand; and continue creating value.,0.60,Budgeting; tracking expenses; and using digital payment tools make handling money easier for me. Keeping a clear plan helps me stay organized and avoid unnecessary spending.,0.90
XOlEjx9437gp,2025-03-17T14:09:39+00:00,$200;000+,29,Male,iOS,US,XOlEjx9437gp,More than $500;001,,Life,0.60,Spending,0.00
WJkgBOxJ17Pd,2025-03-17T14:10:16+00:00,$150;000 - $174;999,43,Male,Android,US,WJkgBOxJ17Pd,Less than $100;000,,Stress,-0.60,YNAB,0.30
2OkaLQKVP7am,2025-03-17T14:10:17+00:00,$100;000 - $124;999,29,Male,iOS,US,2OkaLQKVP7am,$100;001 – $500;000,,It means more flexibility,0.70,I grew up with two parents who were accountants who stressed the important of money,0.00
0xk2WqXjJnAw,2025-03-17T14:10:18+00:00,$200;000+,37,Male,iOS,US,0xk2WqXjJnAw,$100;001 – $500;000,,Security,0.30,Budget spreadsheets,0.00
WJkgBoMJ47Pd,2025-03-17T14:10:42+00:00,$125;000 - $149;999,32,Female,Android,US,WJkgBoMJ47Pd,$100;001 – $500;000,,I need to keep adding to this,0.60,If the interface is easy to use and it's user friendly- it makes my life easy,0.90
MqkKELozel91,2025-03-17T14:11:11+00:00,$175;000 - $199;999,27,Female,iOS,US,MqkKELozel91,Less than $100;000,,I don’t have a business but money for me gives me independence to put myself first.,0.20,Money tracker apps. Six figure salary. Living below my means so I don’t live paycheck to paycheck.,-0.20
eLnBqqXZrko8,2025-03-17T14:11:32+00:00,$125;000 - $149;999,27,Male,Android,US,eLnBqqXZrko8,$100;001 – $500;000,,Survival,0.10,Unified tax docs,0.00
v6n3x5Ro5l3Z,2025-03-17T14:12:34+00:00,$200;000+,30,Male,iOS,US,v6n3x5Ro5l3Z,Less than $100;000,,Positive,0.80,Good,0.80
aJnWmOL1r7Db,2025-03-17T14:12:55+00:00,$125;000 - $149;999,38,Female,Android,US,aJnWmOL1r7Db,$100;001 – $500;000,,Safety and security,0.40,Apps,0.20
MjnZ6w0L4nwP,2025-03-17T14:13:04+00:00,$150;000 - $174;999,26,Male,Android,US,MjnZ6w0L4nwP,Less than $100;000,,Freedom,0.30,An accountant,0.00
Xgl5oArqMk8Q,2025-03-17T14:13:18+00:00,$200;000+,40,Male,Android,US,Xgl5oArqMk8Q,Less than $100;000,,Positive,0.80,Good,0.80
rYkvNLMQdkmx,2025-03-17T14:13:30+00:00,$100;000 - $124;999,32,Male,iOS,US,rYkvNLMQdkmx,$100;001 – $500;000,,Happiness,0.90,When not thinking about it,0.00
2OkaL9xeP7am,2025-03-17T14:13:33+00:00,$100;000 - $124;999,45,Female,iOS,US,2OkaL9xeP7am,Less than $100;000,,Security,0.30,Online banking,0.00
6KnNVoz2KnW2,2025-03-17T14:13:37+00:00,$125;000 - $149;999,30,Male,iOS,US,6KnNVoz2KnW2,More than $500;001,,It means freedom,0.20,Making more,0.80
1GnjNxRm2nDA,2025-03-17T14:13:39+00:00,$200;000+,33,Female,iOS,US,1GnjNxRm2nDA,More than $500;001,,I do not have a business,-0.70,Organization,0.00
MjnZ6XrdqnwP,2025-03-17T14:13:58+00:00,$100;000 - $124;999,31,Female,iOS,US,MjnZ6XrdqnwP,$100;001 – $500;000,,Allows for us to plan for the future,0.90,Financial advisers,0.00
4N7MJ4zEWkjE,2025-03-17T14:13:58+00:00,$200;000+,43,Female,iOS,US,4N7MJ4zEWkjE,More than $500;001,,Freedom,0.30,One stop shop; technology; visibility,0.80
0xk2db0VYlAw,2025-03-17T14:14:00+00:00,$100;000 - $124;999,37,Female,iOS,US,0xk2db0VYlAw,Less than $100;000,,Money is essential no matter what people say it brings happiness,0.40,Easy access to the apps,0.80
MqkKdbggXn91,2025-03-17T14:14:09+00:00,$175;000 - $199;999,45,Female,iOS,US,MqkKdbggXn91,$100;001 – $500;000,,To yield profit,0.00,Excellent,0.90
2OkaLm20p7am,2025-03-17T14:14:10+00:00,$125;000 - $149;999,30,Male,Android,US,2OkaLm20p7am,Less than $100;000,,It ensures financial stability and comfort,0.90,Not allowing lifestyle creep to take over,-0.80
Ka76Njzpd7L1,2025-03-17T14:14:10+00:00,$100;000 - $124;999,27,Female,iOS,US,Ka76Njzpd7L1,Less than $100;000,,Freedom,0.30,Having reliable systems in place,0.80
3gkxNRMB6lWq,2025-03-17T14:14:11+00:00,$125;000 - $149;999,44,Male,Android,US,3gkxNRMB6lWq,More than $500;001,,Freedom,0.30,I've been poor,-0.80
Xgl59R55Yl8Q,2025-03-17T14:14:14+00:00,$100;000 - $124;999,25,Female,iOS,US,Xgl59R55Yl8Q,Less than $100;000,,Security,0.30,Banking Apps,0.00
4N7MJaeMQkjE,2025-03-17T14:14:20+00:00,$125;000 - $149;999,33,Female,iOS,US,4N7MJaeMQkjE,$100;001 – $500;000,,Money brings security and options/flexibility.,0.60,Knowledge of financial products and personal finance management helps make it easier for me,0.90
apkDZo3zDl3E,2025-03-17T14:14:24+00:00,$200;000+,40,Female,iOS,US,apkDZo3zDl3E,$100;001 – $500;000,,That’s our personal monies but could be loaned to our business if needed.,0.00,A stable stock market haha,0.70
wNkoZVe6r7BL,2025-03-17T14:14:32+00:00,$125;000 - $149;999,30,Female,Android,US,wNkoZVe6r7BL,Less than $100;000,,Stability,0.30,Knowing my options,0.30
aXk4OjBX17JW,2025-03-17T14:14:33+00:00,$200;000+,28,Female,iOS,US,aXk4OjBX17JW,$100;001 – $500;000,,Flexibility opportunity and security,0.60,Low fees and easy transferability; transparency,0.90
2OkaGZbGolam,2025-03-17T14:14:40+00:00,$125;000 - $149;999,31,Male,Android,US,2OkaGZbGolam,$100;001 – $500;000,,It means that I am able to afford the necessities of life,0.80,Automatic bill payments,0.10
aXk4doJ11kJW,2025-03-17T14:14:43+00:00,$100;000 - $124;999,35,Male,iOS,US,aXk4doJ11kJW,$100;001 – $500;000,,It means moving forward,0.40,Knowledge,0.40
G0lA8ydbYnPj,2025-03-17T14:14:44+00:00,$200;000+,45,Male,Android,US,G0lA8ydbYnPj,Less than $100;000,,Needed,0.00,More of it and saving,0.40
Ka76E0Y5elL1,2025-03-17T14:15:01+00:00,$200;000+,43,Female,Android,US,Ka76E0Y5elL1,More than $500;001,,Security. Insulation against fluctuating economic circumstances. More options for future investment and relocation.,0.30,Having a husband in finance as well as a good accountant,0.70
dKk90YXdM7oe,2025-03-17T14:16:40+00:00,$125;000 - $149;999,34,Male,iOS,US,dKk90YXdM7oe,Less than $100;000,,Everything,0.40,Accounting tools,0.00
MJkGZb3e57bx,2025-03-17T14:16:52+00:00,$150;000 - $174;999,36,Female,Android,US,MJkGZb3e57bx,$100;001 – $500;000,,While it sucks to have to think this way; the entire purpose of my business is to make money; in order to provide for myself and my family.,-0.80,Honestly; I am horrible with money management so it makes it easier for me to have someone else (my husband) keep track of everything.,0.00
41nqvo95vlXq,2025-03-17T14:17:01+00:00,$100;000 - $124;999,35,Male,iOS,US,41nqvo95vlXq,Less than $100;000,,Mean liquidit,-0.20,Knowing budget,0.00
rYkvNd1r6kmx,2025-03-17T14:17:03+00:00,$100;000 - $124;999,45,Female,iOS,US,rYkvNd1r6kmx,Less than $100;000,,Success,0.80,Guidance,0.10
8rnd4OgbYnMP,2025-03-17T14:17:06+00:00,$125;000 - $149;999,41,Male,iOS,US,8rnd4OgbYnMP,Less than $100;000,,Everything.,0.20,Tools,0.00
1GnjNX1BwnDA,2025-03-17T14:17:08+00:00,$200;000+,42,Female,iOS,US,1GnjNX1BwnDA,More than $500;001,,Security,0.30,When my husband stops spending all of it,0.30
3gkxNa042lWq,2025-03-17T14:17:08+00:00,$100;000 - $124;999,40,Female,iOS,US,3gkxNa042lWq,Less than $100;000,,Freedom,0.30,Less spending,0.10
aXk4O2AoO7JW,2025-03-17T14:17:08+00:00,$150;000 - $174;999,43,Male,iOS,US,aXk4O2AoO7JW,More than $500;001,,It’s critical,0.10,Online apps,0.00
MqkKEVWVXl91,2025-03-17T14:17:09+00:00,$175;000 - $199;999,38,Male,Android,US,MqkKEVWVXl91,$100;001 – $500;000,,I don't have a business but want to have my own at some point,0.30,Having a budget and goals,0.00
