User ID, Created,Age range,Gender, Device type, Region, Respondent ID,Q(1) What does money mean to you?,Q(1) Sentiment [Question: What does money mean to you?],Q(2) What makes managing your money easier?,Q(2) Sentiment [Question: What makes managing your money easier?],Q(3) What tricks help you make your money last?,Q(3) Sentiment [Question: What tricks help you make your money last?]
qVlpBRw2RkA5,2025-03-12T03:09:45+00:00,39,Female,iOS,US,qVlpBRw2RkA5,A Means to support myself and family,0.70,Budget envelopes,-0.10,No spend days,0.10
P2nY20640l90,2025-03-12T03:09:49+00:00,36,Female,iOS,US,P2nY20640l90,it means i can live comfortably.,0.90,not spending it on food as much.,0.00,not spending it.,-0.60
rYkvwD5dKnmx,2025-03-12T03:09:51+00:00,36,Male,iOS,US,rYkvwD5dKnmx,Everything in modern world,0.50,No inflation,-0.30,Don’t go outside home,-0.40
dKk98LpoK7oe,2025-03-12T03:09:55+00:00,33,Female,iOS,US,dKk98LpoK7oe,Livlihood,0.30,Online banking,0.00,Self control,0.00
MqkKdbOgvn91,2025-03-12T03:09:59+00:00,38,Female,iOS,US,MqkKdbOgvn91,Survival,0.10,Banking and financial management apps on my phone,0.10,Buying store brand products; not impulse buying items,-0.20
WJkgB69LP7Pd,2025-03-12T03:10:00+00:00,28,Male,iOS,US,WJkgB69LP7Pd,It’s just a means of serving God and others,-0.30,Having a financial advisor,0.10,Budgeting,0.00
2OkaG6JLPlam,2025-03-12T03:10:01+00:00,37,Male,iOS,US,2OkaG6JLPlam,Security and a place to live,0.40,Clear budget,0.40,Budget. Shop around for pricing. Put money aside in an account before you see it and forget it is there,-0.10
Bp7PDJxYq72x,2025-03-12T03:10:10+00:00,39,Male,Android,US,Bp7PDJxYq72x,It is currency used in exchange for goods and services.,0.00,Not being a compulsive idiot.,-0.70,See previous answer.,-0.40
PLlXYrE4Q7pv,2025-03-12T03:10:11+00:00,30,Female,iOS,US,PLlXYrE4Q7pv,Means to an existence,0.00,Having more of it,0.50,No spending days,0.30
qwneoP58675r,2025-03-12T03:10:12+00:00,37,Female,Android,US,qwneoP58675r,A means to an end,-0.40,Spreadsheeting out a budget,-0.10,I wish I knew,0.10
MjnZPO5Q97wP,2025-03-12T03:10:20+00:00,39,Female,iOS,US,MjnZPO5Q97wP,It’s security and a safety net.,0.20,I use apps and try to keep things as simple as possible.,0.00,There aren’t really any tricks. I just live a simple; inexpensive lifestyle.,-0.10
Ka76NwKv97L1,2025-03-12T03:10:24+00:00,35,Male,Android,US,Ka76NwKv97L1,You,0.20,Yes,0.60,Don't know,-0.40
2rlr9MYqzn8W,2025-03-12T03:10:26+00:00,33,Male,iOS,US,2rlr9MYqzn8W,It’s a means to an end to take care of my family and allow us all to do the things we want and get the things we need,0.70,Having goals and tracking where the money goes,0.30,Paying bills early so I’m not scrambling for money at the due date,-0.20
GxkV9vK2b7bN,2025-03-12T03:10:31+00:00,34,Male,Android,US,GxkV9vK2b7bN,It is a means to an end. I need money to get the things I want and need,-0.40,A budget app,0.00,A savings account,0.40
aJnWmxDPr7Db,2025-03-12T03:10:37+00:00,43,Female,Android,US,aJnWmxDPr7Db,I wish it didn't but it means being able to live; getting Healthcare; food; essentials.,0.20,Help; having a financial advisor,0.30,Don't spend it. Make things last only buy what you need. Clip coupons look for sales.,-0.30
2rlr9wer6n8W,2025-03-12T03:10:55+00:00,34,Female,Android,US,2rlr9wer6n8W,slaves,-0.70,not having any,-0.60,not having any,-0.60
2OkaGJWKBlam,2025-03-12T03:11:09+00:00,33,Female,Android,US,2OkaGJWKBlam,Its very important to rich to poor,-0.10,I didnt earn much,-0.80,Savings account,0.10
qwneoNK5Z75r,2025-03-12T03:11:12+00:00,31,Male,iOS,US,qwneoNK5Z75r,It’s a way of life it makes everything easier,0.90,Budgeting and not making UNNECESSARY purchases. Cutting back on subscriptions.,0.20,Budgeting,0.00
yxlRvZBvjlRB,2025-03-12T03:11:30+00:00,39,Male,iOS,US,yxlRvZBvjlRB,Money means a lot; money is the thing that actually brings you happiness,0.80,My savings account; i deposit 80% of my money in there and the other 20% so i can spend it,0.00,I always use the 80-20 on my savings and checking accounts,0.70
41nq0Q4AmkXq,2025-03-12T03:11:36+00:00,34,Male,Android,US,41nq0Q4AmkXq,Money saves me time. Having extra time is important to doing more of the things that make me happy.,0.90,Using budgeting apps like pocket guard; and investment firms like Fidelity.,0.10,Using filtered water at home instead of bottled water. Making use of reward apps for cashback on gas and groceries.,0.00
Bp7PDowQX72x,2025-03-12T03:11:48+00:00,43,Female,Android,US,Bp7PDowQX72x,Wow; that is a can of worms question. Money to me is translating my sense of value into the value of the universe.,0.10,Monitoring my online bank account on a daily basis.,0.30,Spend less. Make more.,0.20
WKn02yE547vA,2025-03-12T03:11:54+00:00,41,Male,Android,US,WKn02yE547vA,Ability to pay for goods and services,0.10,Having a budget and sticking to it,0.30,Being frugal and sticking to budgets,-0.20
P2nY2gzgol90,2025-03-12T03:12:05+00:00,29,Female,Android,US,P2nY2gzgol90,It makes the world go round and having it makes things easier; but not happier.,0.70,Seeing my purchases and money. Let's me know what I'm buying and how much.,0.40,Not wanting to be in debt. I try and save so I have a little something left over that I can use in case.,-0.30
2rlr9Rd5An8W,2025-03-12T03:12:11+00:00,34,Female,iOS,US,2rlr9Rd5An8W,Paying bills,0.10,Having the money for bills,0.30,Not having money to start with,-0.60
J0nmrZ02elWr,2025-03-12T03:12:14+00:00,41,Male,Android,US,J0nmrZ02elWr,Freedom,0.30,Having plenty of it,0.40,Frugality,0.30
gK7y6Gv9dkae,2025-03-12T03:12:15+00:00,39,Male,iOS,US,gK7y6Gv9dkae,Freedom,0.30,401k and HYSAs,0.00,Eat out less,-0.20
aXk4doyJykJW,2025-03-12T03:12:17+00:00,35,Female,iOS,US,aXk4doyJykJW,Everything.,0.20,Apps.,0.00,Savings.,0.80
qVlp9JO6N7A5,2025-03-12T03:12:17+00:00,37,Male,iOS,US,qVlp9JO6N7A5,Independence,0.30,Stock market,0.00,Investing,0.10
2OkaGLDVelam,2025-03-12T03:12:18+00:00,28,Female,iOS,US,2OkaGLDVelam,Security,0.30,Having any,0.30,Avoiding buying things I don’t need,-0.60
apkDd4DdDk3E,2025-03-12T03:12:20+00:00,34,Male,iOS,US,apkDd4DdDk3E,way to live,0.60,time,-0.20,discipline,0.50
XOlEjKbye7gp,2025-03-12T03:12:20+00:00,41,Female,Android,US,XOlEjKbye7gp,It means being able to afford to live.,0.20,Bank apps.,0.10,Just not impulse shopping.,-0.70
2OkaG2Ma6lam,2025-03-12T03:12:20+00:00,36,Male,Android,US,2OkaG2Ma6lam,Debt,-0.20,IDK honestly,-0.40,Don't spend,-0.80
Xgl5oo0jBk8Q,2025-03-12T03:12:21+00:00,40,Female,Android,US,Xgl5oo0jBk8Q,Financial freedom,0.40,Online banking,0.00,Investing,0.10
aJnWmXOYK7Db,2025-03-12T03:12:23+00:00,29,Male,iOS,US,aJnWmXOYK7Db,Security,0.30,More money,0.00,Budget,0.00
4N7MPDyrQljE,2025-03-12T03:12:24+00:00,37,Female,iOS,US,4N7MPDyrQljE,Is complicated,-0.80,Surveys,-0.10,Pay my bills,0.00
8rnd4P811nMP,2025-03-12T03:12:24+00:00,38,Female,iOS,US,8rnd4P811nMP,Breathing,0.00,Steady paycheck,0.30,Forget it’s there,-0.50
Xgl5oLmvvk8Q,2025-03-12T03:12:25+00:00,28,Male,Android,US,Xgl5oLmvvk8Q,Provision for my family,0.10,My diligence,0.10,Being frugal,-0.20
yxlRv3ZR1lRB,2025-03-12T03:12:25+00:00,36,Male,iOS,US,yxlRv3ZR1lRB,Means a lot to me,0.60,Saving it,0.20,Saving it,0.20
2OkaGB5xolam,2025-03-12T03:12:25+00:00,32,Female,Android,US,2OkaGB5xolam,A resource,0.00,Autopay,0.30,Rewards,0.50
PLlXY0PxO7pv,2025-03-12T03:12:25+00:00,30,Male,iOS,US,PLlXY0PxO7pv,Means I can eat and survive,0.30,Being single,-0.10,Not going out,-0.70
XQnwRoeXAkP2,2025-03-12T03:12:28+00:00,32,Female,Android,US,XQnwRoeXAkP2,I'm not sure,-0.10,Helps stress,0.90,Budget it,0.00
Ka76N8bPe7L1,2025-03-12T03:12:28+00:00,32,Male,iOS,US,Ka76N8bPe7L1,Secure and freedom,0.80,Invest and set a budget,-0.10,Invest,0.10
PYl8Nx6ABkW1,2025-03-12T03:12:28+00:00,33,Female,Android,US,PYl8Nx6ABkW1,Freedom,0.30,An account organizing app,0.00,Don't time the market,-0.60
XQnwRjE6MkP2,2025-03-12T03:12:28+00:00,31,Female,iOS,US,XQnwRjE6MkP2,It kind of means happiness and life,0.70,Having more of it,0.50,By not spending when I want,-0.50
41nq0vjVwkXq,2025-03-12T03:12:29+00:00,36,Female,iOS,US,41nq0vjVwkXq,Freedom,0.30,Organization,0.00,Living below my means,-0.50
1GnjBN1PqnDA,2025-03-12T03:12:30+00:00,42,Female,iOS,US,1GnjBN1PqnDA,Being able to live comfortably,0.90,My mobile app,0.20,I don’t have any tricks,-0.70
aOkQRPagOn4y,2025-03-12T03:12:32+00:00,30,Male,iOS,US,aOkQRPagOn4y,It means surviving,0.00,Making more money,0.40,I try to not spend,-0.50
XOlEjK6Jq7gp,2025-03-12T03:12:32+00:00,43,Female,iOS,US,XOlEjK6Jq7gp,Nothing,-0.60,Nothing,-0.60,Make myself think I have none,-0.20
Zz7brJ5zp7gY,2025-03-12T03:12:32+00:00,36,Female,iOS,US,Zz7brJ5zp7gY,A means to live,0.20,Credit cards and budgeting,0.00,Budgeting,0.00
gK7y6GWDpkae,2025-03-12T03:12:33+00:00,30,Male,Android,US,gK7y6GWDpkae,No,-0.50,No,-0.50,No,-0.50
2OkaL93p67am,2025-03-12T03:12:35+00:00,37,Female,iOS,US,2OkaL93p67am,A way to survive,0.10,Having more of it,0.50,Be frugal and thrifty,-0.10
XQnwYRKa37P2,2025-03-12T03:12:35+00:00,32,Female,iOS,US,XQnwYRKa37P2,Being able to live,0.70,Knowing what I can afford and what I can’t,0.20,Don’t buy things that aren’t necessary and buy things on sale,-0.60
4N7MPy2oQljE,2025-03-12T03:12:36+00:00,30,Female,iOS,US,4N7MPy2oQljE,Trade,0.00,My choices,0.30,Healthy choices,0.90
WKn02xaPj7vA,2025-03-12T03:12:36+00:00,38,Female,iOS,US,WKn02xaPj7vA,It’s necessary evil,-0.80,Nothing,-0.60,No buy,-0.70
Bp7PDAqmR72x,2025-03-12T03:12:36+00:00,32,Female,Android,US,Bp7PDAqmR72x,Freedom,0.30,Good record keeping and visibility,0.80,Buy in bulk. Thrift,0.10
aXk4dbNOZkJW,2025-03-12T03:12:38+00:00,35,Male,Android,US,aXk4dbNOZkJW,Way to take care of myself,0.40,Putting it away,-0.70,Save it,-0.30
XQnwY09AV7P2,2025-03-12T03:12:38+00:00,38,Female,Android,US,XQnwY09AV7P2,What's necessary to live,0.30,Simplifying my life,0.90,Keep to the basics; plan for the worst,-0.70
yxlRvqqGLlRB,2025-03-12T03:12:39+00:00,28,Male,iOS,US,yxlRvqqGLlRB,Ability to get things I need,0.70,Another person,-0.20,Buy in bulk; use Whole Foods,0.30
PLlXY2goQ7pv,2025-03-12T03:12:40+00:00,37,Male,iOS,US,PLlXY2goQ7pv,Good to save and spend necessary things,0.90,Job work hustle work,0.20,Save money,0.80
GxkV9Pp0J7bN,2025-03-12T03:12:41+00:00,38,Female,iOS,US,GxkV9Pp0J7bN,Security,0.30,Ally bank buckets,0.20,Delete shopping apps,-0.50
WJkgBYYz47Pd,2025-03-12T03:12:41+00:00,36,Male,Android,US,WJkgBYYz47Pd,Security,0.30,Palnning,0.30,Saving,0.60
RE7LZ8JmJn0v,2025-03-12T03:12:41+00:00,34,Male,iOS,US,RE7LZ8JmJn0v,Money means freedom; to take a nap after lunch in the middle of the week,0.10,Making shopping lists,0.10,Sticking to a budget,-0.30
RE7LZZqQpn0v,2025-03-12T03:12:42+00:00,38,Female,iOS,US,RE7LZZqQpn0v,Money means being able to buy groceries,0.60,I’m not sure,-0.10,Not spending it on stuff I don’t need,-0.30
wNko4Zy09nBL,2025-03-12T03:12:43+00:00,28,Male,iOS,US,wNko4Zy09nBL,Money only,-0.20,Not good at managing it,-0.80,No tricks,-0.40
WJkgB9qRZ7Pd,2025-03-12T03:12:43+00:00,36,Male,iOS,US,WJkgB9qRZ7Pd,A lot,0.60,Yes it is,0.40,Nice way to help the community,0.90
Ka76NAR4N7L1,2025-03-12T03:12:44+00:00,34,Female,iOS,US,Ka76NAR4N7L1,Happiness,0.90,Nothing. It’s never been easy for me to manage money,-0.10,Staying busy so I don’t shop to cure boredom,0.20
8rndN4vOm7MP,2025-03-12T03:12:47+00:00,32,Male,iOS,US,8rndN4vOm7MP,It means living a life of satisfaction,0.80,Having everything organized; makes money easier to manage,0.90,I create Excel sheets to have everything organized,0.80
P2nY298Dyl90,2025-03-12T03:12:48+00:00,28,Female,iOS,US,P2nY298Dyl90,Security,0.30,Savings accounts; investments; diversified portfolio,0.20,Buying less and window shopping stops me from buying,-0.10
Zz7brrDDp7gY,2025-03-12T03:12:48+00:00,32,Male,iOS,US,Zz7brrDDp7gY,It means security for my family,0.70,Keeping regular tabs on it,0.00,Being careful with all spending,0.30
MqkKEQaPdl91,2025-03-12T03:12:51+00:00,41,Female,Android,US,MqkKEQaPdl91,Security,0.30,Options,0.00,Deals,0.30
aXk4doRe1kJW,2025-03-12T03:12:51+00:00,30,Male,iOS,US,aXk4doRe1kJW,Freedom,0.30,Budgeting,0.00,Just saving cutting back.,0.00
yxlRJEKrRlRB,2025-03-12T03:12:51+00:00,38,Female,Android,US,yxlRJEKrRlRB,Something you trade for his and services or is security and safety,0.30,Paying attention to it,0.00,But less shot,-0.40
aXk4dwaYmkJW,2025-03-12T03:12:51+00:00,39,Male,iOS,US,aXk4dwaYmkJW,It means being able to eat,0.00,Pen and paper budgeting,-0.10,Dividing money left after bills by 14. That’s my daily budget,-0.20
wNkoZgzz47BL,2025-03-12T03:12:54+00:00,34,Male,Android,US,wNkoZgzz47BL,Freedom,0.30,If someone else did it for me,-0.10,Think twice before buying something,-0.60
WJkgBBZpL7Pd,2025-03-12T03:12:55+00:00,38,Female,iOS,US,WJkgBBZpL7Pd,Freedom,0.30,Having more,0.60,Saving it,0.20
wNko4PeDxnBL,2025-03-12T03:12:55+00:00,38,Male,Android,US,wNko4PeDxnBL,Everything,0.40,Cutting costs,-0.20,Watch for deals,0.00
WJkgBVwA47Pd,2025-03-12T03:12:56+00:00,42,Female,iOS,US,WJkgBVwA47Pd,It’s very important and increasingly so in the world we live in,0.70,Nothing right now - the markets are shit and no advisor or service can really help w that,-0.80,Being smart about how you spend and invest,0.70
aXk4doJ11kJW,2025-03-12T03:12:55+00:00,35,Male,iOS,US,aXk4doJ11kJW,Nothing much,-0.50,Taking care of business early on,0.40,Controlling a tight budget,0.00
JGnJ1YJeXkbx,2025-03-12T03:12:57+00:00,43,Male,Android,US,JGnJ1YJeXkbx,Freedom to do what I want,0.80,Having alot if it where I don't have to worry about it,0.30,Live below my income.,-0.40
v6n3xGW5al3Z,2025-03-12T03:12:59+00:00,41,Male,Android,US,v6n3xGW5al3Z,Necessity in order to live,0.20,Spending less,0.20,Buying only the essentials,0.40
3gkxg4Mm27Wq,2025-03-12T03:13:00+00:00,36,Male,Android,US,3gkxg4Mm27Wq,Money is what I get from work that allows me to live my life.,0.70,I used several Google spreadsheets and I'm happy with my setup,0.90,I budget my money to make sure that it lasts,0.00
WJkgB2WNB7Pd,2025-03-12T03:13:00+00:00,29,Male,Android,US,WJkgB2WNB7Pd,It means freedom to buy whatever I want,0.70,Seeing more coming in,0.40,Shopping less expensive brands,0.40
J0nmryOKBlWr,2025-03-12T03:13:00+00:00,42,Female,iOS,US,J0nmryOKBlWr,Something I need to buy essentials,-0.10,A good financial plan,0.80,To only but what I need,0.40
gK7y6o1M4kae,2025-03-12T03:13:10+00:00,36,Female,iOS,US,gK7y6o1M4kae,Security influence,0.00,Online banking,0.00,Automatic deposit into savings,0.50
aJnWmYgyv7Db,2025-03-12T03:13:11+00:00,28,Female,iOS,US,aJnWmYgyv7Db,The way to survive. Something used daily and affects our lives,-0.10,Being on top of it; whether it’s checking my bank account; 401K; credit cards.,-0.10,Investing it or HYSA,0.00
aJnWmOL1r7Db,2025-03-12T03:13:12+00:00,38,Female,Android,US,aJnWmOL1r7Db,Safety and security,0.40,Apps make it easy,0.60,I utilize credit card points; rebate apps and surveys for spending money. I save all my extra funds.,0.30
2OkaGbKBPlam,2025-03-12T03:13:14+00:00,35,Female,Android,US,2OkaGbKBPlam,Stability; supportive,0.90,Financial apps; banks and financial advisors.,0.00,Investing and savings account.,0.40
JGnJV2ZLJnbx,2025-03-12T03:13:16+00:00,33,Male,Android,US,JGnJV2ZLJnbx,freedom,0.30,learning,0.20,budgeting and goals,0.00
aJnWmrz467Db,2025-03-12T03:13:17+00:00,38,Male,iOS,US,aJnWmrz467Db,Freedom,0.30,Budgets,0.00,Don't look for it,-0.70
MjnZP4oyA7wP,2025-03-12T03:13:18+00:00,41,Male,iOS,US,MjnZP4oyA7wP,A means to an end. Use it for creature comforts,0.00,My wife takes care of it,0.10,Doing one pulse and other apps that make me a little money,0.00
WJkgBzZqe7Pd,2025-03-12T03:13:23+00:00,36,Female,Android,US,WJkgBzZqe7Pd,I don't know,-0.20,My husband,-0.10,Not spending too much,-0.20
Zz7br9EQj7gY,2025-03-12T03:13:24+00:00,34,Female,iOS,US,Zz7br9EQj7gY,A currency to buy things we need and want. We have to warn money to spend money.,-0.40,Having a budget and keeping track of what I spend. Keeping an excel of what I spend helpe me.,0.50,Spending diets and using coupons. Shopping for sales and looking out for discounts. Not buying items at full price.,-0.10
p6n1j5ROvlD2,2025-03-12T03:13:26+00:00,40,Female,Android,US,p6n1j5ROvlD2,A way to pay bills,0.10,Support,0.10,Act like i don't have any,-0.80
wNkoZgY427BL,2025-03-12T03:13:26+00:00,32,Male,Android,US,wNkoZgY427BL,A means to an end. A form of payment.,-0.20,Finance apps.,0.00,Cashback tools; coupons/rebates; and interest rates.,0.40
JGnJ1rgVykbx,2025-03-12T03:13:26+00:00,35,Male,iOS,US,JGnJ1rgVykbx,Financial security.,0.20,Budgeting my finances.,0.00,Keeping track of my spending so I don’t overpay for expenses.,0.40
41nqvLmamlXq,2025-03-12T03:13:27+00:00,34,Male,iOS,US,41nqvLmamlXq,Money is the means to which a person can provide for themselves sustainance; shelter; and things that make them happy,0.50,Understanding that you don’t need much of anything and that it’s easy to save money if you work at it.,0.70,I like to coupon and find free food,0.90
qwneWZ32475r,2025-03-12T03:13:28+00:00,38,Male,Android,US,qwneWZ32475r,It means cash and coins,0.20,To not spend as much,-0.10,Not to spend too much,0.20
1GnjBQ4NqnDA,2025-03-12T03:13:30+00:00,38,Male,Android,US,1GnjBQ4NqnDA,It's a means to get things I want.  Also a means for man to be evil,0.10,Having an excellent sheet tracking it,0.90,Self control,0.00
RE7LZMM9gn0v,2025-03-12T03:13:29+00:00,34,Male,Android,US,RE7LZMM9gn0v,Freedom.,0.30,Earning more.,0.90,Eating out less.,-0.20
2rlr9REY6n8W,2025-03-12T03:13:31+00:00,43,Male,Android,US,2rlr9REY6n8W,Independence and freedom,0.40,Financial planning and having an excess of funds,-0.40,Budgeting and saving where you can,0.60
Bp7PDx65672x,2025-03-12T03:13:35+00:00,38,Female,iOS,US,Bp7PDx65672x,Comfortably,0.90,Organization,0.00,Coupons and sales,0.10
PLlXYobvj7pv,2025-03-12T03:13:43+00:00,42,Male,Android,US,PLlXYobvj7pv,money means living since you need it to obtain anything basic that you need.,-0.30,managing money becomes easier when you limit your greedy desires.,0.50,always putting up half the money you make when you get it allows you to make your money last better.,-0.30
6KnNymNxKkW2,2025-03-12T03:13:44+00:00,39,Female,Android,US,6KnNymNxKkW2,A means to an end; but it won't buy u happiness,-0.30,Having goals,0.20,Don't go shopping unless u need to,-0.80
2rlr9avajn8W,2025-03-12T03:13:47+00:00,32,Female,iOS,US,2rlr9avajn8W,Instrument to work with to grow my business,0.10,Account,-0.20,Not to spent on everything or anything that is not useful,-0.20
aJnWm40BQ7Db,2025-03-12T03:13:48+00:00,39,Male,iOS,US,aJnWm40BQ7Db,Good,0.80,Banking apps,0.00,Using coupons and cashbacks,0.00
Xgl5orE6Ek8Q,2025-03-12T03:13:54+00:00,43,Male,Android,US,Xgl5orE6Ek8Q,Freedom,0.30,Autopay; electronic transfers; banking apps; a low monthly mortgage payment,0.00,A low cost phone plan that doubles as my home internet; cash back; interest,0.10
MjnZPODd97wP,2025-03-12T03:13:55+00:00,29,Female,iOS,US,MjnZPODd97wP,It means financially well,0.80,To have a financial advisor,0.10,Resisting temptation,0.00
MqkKddRZAn91,2025-03-12T03:13:56+00:00,43,Male,Android,US,MqkKddRZAn91,Everything,0.40,Selfcontrol,0.30,Focusing on the future,0.20
wNkoZdeYW7BL,2025-03-12T03:14:00+00:00,32,Male,Android,US,wNkoZdeYW7BL,Everything,0.40,Nothing,-0.60,Being broke sucks,-0.80
rYkvwJG3Onmx,2025-03-12T03:14:13+00:00,29,Female,Android,US,rYkvwJG3Onmx,Money is important because you can't live life without it at least in this country,0.20,Sticking to a budget and having a savings account,-0.20,Only buy necessities,0.30
qVlp9JqBO7A5,2025-03-12T03:14:16+00:00,40,Female,iOS,US,qVlp9JqBO7A5,Survival and security.,0.10,Having a budget and sticking to it. Keeping an emergency fund in a high yield savings account. Keeping an old fashioned checkbook register so that there is never an overdraft.,0.40,Always putting 10% in savings for emergencies. Only buying essentials. Shopping secondhand when possible.,0.20
Zz7brJdWO7gY,2025-03-12T03:14:30+00:00,40,Female,iOS,US,Zz7brJdWO7gY,Means of Survival.,0.10,Budget; writing down what you need and want; bill and shipping list; and expenses list;.,0.00,Coupons; buy in bulk; cook at home; generic items at grocery store.,0.00
rYkvwpmoGnmx,2025-03-12T03:14:34+00:00,39,Female,iOS,US,rYkvwpmoGnmx,Saving your money,0.50,Saving,0.60,Leaving in saving,0.00
v6n3x5G0Vl3Z,2025-03-12T03:14:45+00:00,29,Male,iOS,US,v6n3x5G0Vl3Z,G  ty igu,0.00,The fhy,0.00,B fi gr,0.20
wNko4P1oWnBL,2025-03-12T03:14:50+00:00,34,Male,iOS,US,wNko4P1oWnBL,The ability to buy essentials,0.30,Not being poor,-0.20,Going without; sticking to essentials,0.20
eLnB8QQV07o8,2025-03-12T03:15:01+00:00,34,Male,iOS,US,eLnB8QQV07o8,Money is one of The most important things in the world to me.,0.30,Storing my money in the form of crypto. more specifically a stable coin that’s backed by the US dollar so you never have to worry about the value of your store crypto; losing any value,0.20,Storing it in the form of a stable coin crypto. It adds a couple steps in order to turn it back to use money to spin so it makes me less more likely to spend it,-0.10
yxlRv3vqMlRB,2025-03-12T03:15:03+00:00,41,Male,iOS,US,yxlRv3vqMlRB,It means wealth; with money I pay my bills on time.,0.20,My smartphone is a big help.,0.90,Online deals and going to Walmart store compare the prices.,-0.20
eLnBqwJ4zko8,2025-03-12T03:15:17+00:00,40,Male,iOS,US,eLnBqwJ4zko8,Freedom,0.30,Ai,0.00,Ai,0.00
apkDdOx8xk3E,2025-03-12T03:15:27+00:00,33,Female,Android,US,apkDdOx8xk3E,Money doesn't mean much to me; but it's a necessity,0.00,Managing my money is easier when I have a goal and set a budget,0.60,Setting a budget and only buying things that I need,0.30
GxkV9da6m7bN,2025-03-12T03:15:30+00:00,36,Male,Android,US,GxkV9da6m7bN,Nothing,-0.60,I don't have any,-0.60,I don't have any,-0.60
1GnjB3QD9nDA,2025-03-12T03:15:32+00:00,35,Female,Android,US,1GnjB3QD9nDA,Everyone fights about it everywhere you go.,0.00,Having someone to help,0.00,I'm not to sure,-0.20
0xk2W9K6JnAw,2025-03-12T03:15:34+00:00,28,Male,Android,US,0xk2W9K6JnAw,Living and retirement,0.00,Seprate Accounts,0.00,Put in different accounts,-0.10
GxkV99BMr7bN,2025-03-12T03:15:33+00:00,42,Male,iOS,US,GxkV99BMr7bN,Financial support,0.10,Savings,0.80,Using coupons,0.00
